beta,energy,magnet
0.10000,-0.25000,0.12500
0.10000,0.20312,-0.01562
0.10000,-0.23438,-0.03125
0.10000,-0.07812,-0.01562
0.10000,-0.15625,-0.06250
0.10000,-0.45312,0.23438
0.10000,-0.12500,0.06250
0.10000,-0.18750,-0.07812
0.10000,-0.21875,-0.21875
0.10000,-0.20312,-0.23438
0.10000,-0.23438,-0.01562
0.10000,-0.10938,0.14062
0.10000,-0.23438,-0.10938
0.10000,-0.31250,-0.17188
0.10000,-0.18750,-0.01562
0.10000,-0.31250,0.21875
0.10000,-0.40625,0.14062
0.10000,-0.32812,0.12500
0.10000,-0.32812,0.00000
0.10000,-0.23438,0.06250
0.10000,-0.17188,0.10938
0.10000,-0.37500,-0.03125
0.10000,-0.39062,0.01562
0.10000,-0.40625,0.28125
0.10000,-0.21875,0.09375
0.10000,-0.21875,0.04688
0.10000,0.07812,0.06250
0.10000,-0.10938,0.14062
0.10000,0.01562,0.03125
0.10000,-0.28125,-0.15625
0.10000,-0.35938,0.00000
0.10000,-0.37500,-0.06250
0.10000,-0.18750,-0.01562
0.10000,-0.29688,-0.12500
0.10000,0.00000,0.01562
0.10000,-0.18750,0.17188
0.10000,-0.54688,0.21875
0.10000,-0.42188,-0.14062
0.10000,-0.29688,0.01562
0.11020,-0.40625,-0.04688
0.10000,-0.23438,-0.12500
0.11020,-0.14062,-0.03125
0.11020,-0.18750,-0.04688
0.11020,-0.21875,0.12500
0.11020,-0.37500,0.09375
0.11020,-0.06250,-0.07812
0.11020,0.10938,-0.07812
0.11020,-0.25000,0.00000
0.11020,0.12500,0.07812
0.11020,-0.15625,-0.17188
0.11020,-0.26562,-0.10938
0.11020,-0.43750,0.18750
0.11020,-0.34375,0.07812
0.11020,-0.28125,-0.06250
0.11020,-0.28125,-0.09375
0.11020,-0.18750,-0.07812
0.11020,-0.21875,0.12500
0.11020,-0.20312,0.09375
0.11020,-0.21875,-0.09375
0.11020,-0.18750,0.07812
0.11020,-0.39062,-0.07812
0.11020,-0.25000,0.03125
0.11020,-0.07812,0.01562
0.11020,-0.43750,-0.04688
0.11020,-0.34375,-0.12500
0.11020,-0.18750,-0.03125
0.11020,-0.25000,0.06250
0.11020,-0.12500,0.00000
0.11020,-0.10938,0.04688
0.11020,-0.14062,0.07812
0.11020,-0.10938,-0.04688
0.11020,-0.40625,-0.07812
0.11020,-0.23438,0.07812
0.11020,-0.03125,0.00000
0.11020,-0.25000,-0.17188
0.11020,-0.37500,0.23438
0.11020,-0.31250,0.06250
0.11020,-0.10938,-0.10938
0.11020,-0.15625,0.09375
0.11020,-0.03125,-0.01562
0.12041,-0.26562,-0.17188
0.12041,-0.25000,-0.15625
0.12041,-0.37500,-0.07812
0.12041,-0.12500,-0.04688
0.12041,-0.31250,0.07812
0.12041,-0.23438,-0.03125
0.12041,-0.40625,-0.15625
0.12041,-0.40625,-0.23438
0.12041,-0.23438,-0.15625
0.12041,-0.20312,-0.17188
0.12041,-0.39062,0.28125
0.12041,-0.20312,-0.06250
0.12041,-0.28125,-0.03125
0.12041,-0.26562,-0.14062
0.12041,-0.18750,0.01562
0.12041,-0.25000,0.01562
0.12041,-0.29688,0.03125
0.12041,-0.25000,-0.17188
0.12041,-0.23438,0.10938
0.12041,-0.06250,0.00000
0.12041,-0.25000,-0.14062
0.12041,-0.09375,0.01562
0.12041,-0.35938,0.12500
0.12041,-0.17188,0.04688
0.12041,-0.32812,-0.25000
0.12041,-0.03125,-0.18750
0.12041,-0.18750,-0.06250
0.12041,-0.37500,-0.23438
0.12041,-0.09375,-0.03125
0.12041,-0.34375,0.03125
0.12041,-0.37500,0.09375
0.12041,-0.06250,-0.04688
0.12041,-0.23438,0.04688
0.12041,-0.07812,-0.06250
0.12041,-0.14062,-0.15625
0.12041,-0.14062,0.03125
0.12041,-0.57812,-0.31250
0.12041,-0.14062,0.10938
0.12041,-0.29688,0.06250
0.13061,-0.12500,-0.07812
0.12041,-0.34375,0.20312
0.13061,-0.25000,0.01562
0.13061,-0.20312,-0.03125
0.13061,-0.60938,-0.35938
0.13061,-0.26562,-0.12500
0.13061,-0.42188,-0.21875
0.13061,-0.29688,-0.07812
0.13061,-0.45312,0.18750
0.13061,-0.64062,0.28125
0.13061,-0.23438,0.14062
0.13061,-0.03125,0.01562
0.13061,-0.32812,0.15625
0.13061,-0.32812,-0.14062
0.13061,-0.12500,-0.10938
0.13061,-0.20312,0.04688
0.13061,-0.09375,-0.01562
0.13061,-0.18750,-0.09375
0.13061,-0.10938,-0.12500
0.13061,-0.43750,0.07812
0.13061,-0.39062,-0.18750
0.13061,-0.42188,0.10938
0.13061,-0.29688,0.04688
0.13061,-0.21875,-0.04688
0.13061,-0.39062,-0.21875
0.13061,-0.32812,-0.06250
0.13061,0.00000,0.04688
0.13061,-0.43750,0.21875
0.13061,-0.46875,0.18750
0.13061,-0.35938,-0.06250
0.13061,-0.53125,-0.25000
0.13061,-0.10938,0.00000
0.13061,-0.40625,-0.17188
0.13061,-0.20312,0.03125
0.13061,-0.12500,0.01562
0.13061,-0.31250,-0.04688
0.13061,-0.39062,0.12500
0.13061,-0.25000,0.12500
0.13061,-0.17188,0.00000
0.13061,-0.23438,0.03125
0.13061,-0.04688,0.04688
0.14082,-0.42188,-0.04688
0.14082,-0.34375,-0.20312
0.14082,-0.57812,0.31250
0.14082,-0.32812,0.15625
0.14082,-0.29688,-0.17188
0.14082,-0.17188,-0.04688
0.14082,-0.29688,-0.09375
0.14082,-0.32812,-0.12500
0.14082,-0.25000,-0.12500
0.14082,-0.40625,-0.14062
0.14082,-0.39062,0.03125
0.14082,-0.21875,-0.09375
0.14082,-0.21875,-0.04688
0.14082,-0.21875,0.07812
0.14082,-0.43750,-0.14062
0.14082,-0.39062,0.18750
0.14082,0.00000,-0.06250
0.14082,-0.39062,0.03125
0.14082,-0.26562,0.32812
0.14082,-0.15625,-0.15625
0.14082,-0.29688,-0.07812
0.14082,-0.51562,-0.32812
0.14082,-0.10938,0.10938
0.14082,-0.28125,-0.01562
0.14082,-0.07812,0.00000
0.14082,-0.31250,-0.09375
0.14082,-0.37500,0.10938
0.14082,-0.06250,0.20312
0.14082,-0.17188,0.06250
0.14082,-0.23438,0.21875
0.14082,-0.56250,-0.18750
0.14082,-0.78125,0.17188
0.14082,-0.37500,0.00000
0.14082,-0.51562,-0.28125
0.14082,-0.25000,-0.06250
0.14082,-0.21875,0.01562
0.14082,-0.39062,-0.18750
0.14082,-0.23438,0.00000
0.14082,-0.18750,0.03125
0.14082,-0.40625,0.20312
0.15102,-0.23438,0.01562
0.15102,-0.54688,0.04688
0.15102,-0.23438,0.17188
0.15102,-0.29688,-0.10938
0.15102,-0.12500,0.03125
0.15102,-0.21875,0.09375
0.15102,-0.45312,-0.23438
0.15102,-0.15625,0.06250
0.15102,-0.39062,0.15625
0.15102,-0.60938,0.25000
0.15102,-0.18750,0.09375
0.15102,-0.48438,-0.23438
0.15102,-0.45312,0.15625
0.15102,-0.43750,-0.25000
0.15102,-0.31250,0.03125
0.15102,-0.26562,0.17188
0.15102,-0.53125,0.20312
0.15102,-0.53125,0.31250
0.15102,-0.34375,0.00000
0.15102,-0.43750,0.00000
0.15102,-0.40625,0.07812
0.15102,-0.42188,0.04688
0.15102,-0.29688,0.04688
0.15102,-0.56250,0.34375
0.15102,-0.28125,0.18750
0.15102,-0.06250,-0.20312
0.15102,-0.39062,-0.07812
0.15102,-0.26562,0.10938
0.15102,-0.43750,0.25000
0.15102,-0.29688,0.04688
0.15102,-0.18750,-0.23438
0.15102,-0.18750,0.09375
